sol,Gen_at_10_1_kw,Gen_at_26_1_kw,Gen_at_65_1_kw,Gen_at_66_1_kw,Gen_at_69_1_kw,Gen_at_80_1_kw,Gen_at_25_1_kw,Gen_at_49_1_kw,Gen_at_59_1_kw,Gen_at_61_1_kw,Gen_at_100_1_kw,Gen_at_12_1_kw,Gen_at_31_1_kw,Gen_at_46_1_kw,Gen_at_54_1_kw,Gen_at_87_1_kw,Gen_at_103_1_kw,Gen_at_111_1_kw,cost_dh,voltage_deviation_pu,emissions_ton_h
1,276186.38956137036,268233.8367005432,259518.20821469283,237761.54983256874,251628.35486114028,287108.41254028474,214195.31687893244,285868.6316731361,203599.558221301,134933.61539665426,273408.29858490115,151472.12144381372,90243.6458982031,90274.63026021692,99011.03044624192,30634.94298473841,27247.496392672056,98798.17244386926,15577.539225213188,2.2803050250224963,39283.510057000174
2,257935.94733332662,267152.41030579986,328012.24194078695,361162.94592150237,435492.4958294331,375414.59014044923,305171.88570943265,195866.23614172213,203590.14580550708,131015.16811615598,163107.95701441506,118278.81879471279,14135.279950758157,3522.7489713051546,31702.1632446218,19368.75265961432,26191.194964189905,4127.934359117961,12894.663754107736,3.449905264382351,52291.13387341667
3,291719.80399643607,327838.9812789683,403873.2210423429,338850.76413166715,301545.6180778143,317792.4892864648,260832.49968379966,296883.6114152149,237407.88534043563,166888.57452345177,156396.6020507438,126559.48802808751,90103.07396695438,111736.87559691315,97088.42529756179,19693.125985194907,105709.21653055275,118262.16067451847,18604.076559646153,0.11919385700653895,55104.74837209532
4,442106.55183137633,331763.0074804309,407107.570993836,234165.76109915186,732487.4840010698,439483.2340289931,128601.67624054538,297078.5653967673,144832.12967475748,164781.48009967984,123423.55009372266,96088.3864645281,91997.79634094547,2261.917156362285,33917.429084227406,100946.1490024864,110898.19824920941,9867.266895348861,18205.325649770864,0.0773223268412403,80945.12566621446
5,289131.7128537305,278513.1226187493,409301.0772795483,361097.9165603168,500605.46368353063,296661.79399932537,207488.3468201914,198439.33996125517,203755.78792821863,131434.49628824077,166532.2162945599,123262.26211384457,9608.915101921362,834.8573672542043,42444.769951117785,6136.9710366335785,24163.5304648926,3782.3630164858478,12812.410823836906,3.011487351903077,55939.08542061966
6,285142.85590849497,278255.9148641347,328332.5199705633,360282.3020099698,447269.13637617254,290841.4659147229,215586.79176921773,221052.3352353942,201667.5932663059,144562.30339823043,259382.94238483647,140086.1649448683,14442.37768424724,423.82834808142434,31696.033743392974,17485.392269364736,26887.196938279318,3712.838606131216,13103.481714966547,2.2159252757685453,51629.202326846374
7,244228.03378295386,350304.91667772824,329625.23018027237,366548.8983907713,491996.9152017281,439563.77922839276,213657.0009302405,196886.0449836177,203755.78792821863,131434.4827409391,166540.6789472395,123227.78682003717,12270.054595508496,412.815249890546,41958.12700436758,698.2661470558596,34473.1500635069,4272.687399976188,13299.952482333154,1.7450003997290393,57383.76933977051
8,277659.3711054776,351007.1049313873,318419.342928315,366160.6702261174,507706.9172261357,293341.566761532,207351.20218886004,217675.38919348945,204537.608645386,131396.3037843556,165732.0373895198,139217.6561255194,9631.369486498417,413.2858459354902,41559.584372152836,4589.657585048712,27748.438968782437,4121.736224142471,12996.065010884342,2.6315349551277585,54434.39743056264
9,279641.4245250875,280336.5074427754,333119.43261349574,241600.96262005388,244025.3230824688,287108.41254028474,213482.30583909515,285847.65018418233,203599.5717316135,134933.61539665426,273408.29858490115,118007.98153030429,90198.18794982962,113533.049294884,98986.3606564044,62819.21360752143,27362.77150209359,98798.17244386926,16465.956730238035,1.4761662502303405,42305.85865315656
10,291857.0948130491,328312.7004166601,404833.1362755266,453584.86245235766,238159.83386303985,317795.7316837952,301641.05004491674,296885.0846571579,203264.6132714054,101453.04452701312,156072.82356728052,137129.3603904513,93609.34647942556,112265.11540769985,97170.388921472,59189.622886849276,35273.604442760894,118185.72400057976,18406.373946295498,0.14040801836445116,58341.771447087944
11,279133.2013512791,280305.2977251956,255730.6731770887,241259.45506949542,248912.8052446678,374561.5949854022,257219.98838376295,284527.7626535447,203598.03097156435,100214.8559429608,156703.6363677516,152224.15906833703,90448.70122037035,111317.33511541355,99010.7859207191,73858.89414529137,106948.88590645709,98636.3538259777,17342.1963275571,1.3905447818109637,41635.95788119507
12,450289.68728489865,265589.3208382961,481689.7208837279,234625.48577050574,610717.8674153317,295818.2603407129,128822.32719555547,285478.15936349006,204411.22654037757,100902.98913932742,170237.6550365023,131210.99335379124,89237.68005504782,90594.15259271243,103631.24892840005,12574.162426851903,28094.820621304018,68246.01940597672,17075.562479510958,0.10955108364106436,70949.7008639767
13,276186.38956137036,271401.4753835577,259518.20821469283,239640.01463013017,254204.62486649293,374064.2285816189,214195.31687893244,276974.11845855915,126746.15619389893,135023.17288976285,273408.29858490115,151472.12144381372,91528.18879344611,90274.63026021692,98761.33751055793,30298.234294170794,37136.33094151811,98798.17244386926,15489.98868426666,2.063660364547816,40537.77771518904
14,278217.46236241714,271490.7243807711,403701.2170346704,241790.5224611109,266894.6323266906,284883.911385712,304040.82550865976,285491.6160187724,239205.49936313013,178262.02365467194,162840.108826811,126491.07964710967,92152.51606845699,89498.0852229707,81225.16036957636,45347.161141088436,37037.105173918644,4775.433039537718,15644.82439818611,1.1101588386533314,47225.21761359571
15,442106.55183137633,331306.15763888956,407107.570993836,233807.66473576275,732487.4840010698,454433.22805971385,128601.67624054538,193934.26776739163,203267.82780308477,105310.87103750795,124048.401683892,96088.3864645281,37832.41688031527,90904.00801118853,33693.61506128586,100946.1490024864,110898.19824920941,9873.148804536884,17863.79432344901,0.07831833896071194,79959.09539730757
16,244657.01288818126,351007.1049313873,318419.342928315,366160.6702261174,507706.9172261357,293341.46969963535,215324.41649923596,217687.2340305975,203728.99076524176,131396.3037843556,165445.58064373664,139217.6561255194,9631.369486498417,413.2858459354902,43542.76364183295,4589.657585048712,26250.48794337618,4121.736224142471,12902.630969712158,3.129394198434484,53488.15641571816
17,446339.07384216913,267164.77259301377,409301.0772795483,367932.9641646965,502061.12484154373,439673.1726939395,215260.718966813,196886.0449836177,203755.78792821863,163732.02828613322,156072.967946116,123402.69362082769,8005.032030235941,62974.249010285545,36384.96923146573,4554.917849425698,24164.032157812464,10937.779846825404,14861.413346279232,0.31389777967357835,69127.82343465014
18,277014.3088615786,275114.58226284705,335998.93677737913,234260.952659088,271512.25962682674,318035.2070090826,260261.8093967717,297029.33634928183,237887.25744467392,101370.17789159826,163085.0593236611,135408.62398958276,89729.86356056383,112261.16482463072,97643.02794508015,59838.049677346426,109311.38180173813,98945.93975542323,17491.270702188307,0.8453569216932838,44181.34228997732
19,278845.0079443481,350277.7352850103,475420.5912577115,459053.46610819246,610187.6211131315,389367.8268795851,258453.69241900102,182556.3682983276,145867.50739582762,98309.82906223343,163697.11417070814,140032.03182168474,14394.228385101107,36694.5152989655,31910.81452821599,16842.148244315962,23470.659068695593,10982.989423730836,15003.860621498143,0.22248725701688532,76214.33113687964
20,279420.8012581561,267088.6548445426,404307.0288680277,365788.5424048148,505458.60335456295,366819.8097193559,257784.1299644396,276527.779255233,127126.25719652037,100605.72415538557,156842.51169049132,139222.07040421013,13133.773624314723,111163.3037071369,41491.18451289422,6094.833112200897,27755.00641796707,4839.408515184357,14319.735360163293,0.9354345843386306,59413.468463077
21,277676.7040226244,267019.1325689635,334404.95578541467,335888.93374270806,277569.11457427416,454105.9367097718,305180.1190939719,202127.3186009928,204395.42924563496,104959.29489838891,155607.10493464445,123924.738416576,38928.039538713245,90255.74890980491,36125.90278020004,19714.691753571027,24087.6987286352,6512.225964559668,13631.572185088968,2.457069972010919,48985.39570883444
22,446444.54699466686,276148.6330499954,409301.0772795483,365722.2425597589,500605.46368353063,439563.77922839276,207191.30842637978,196886.0449836177,203755.78792821863,131277.3754279817,166540.6789472395,123402.69362082769,9645.54337668342,412.77324239427173,41958.12700436758,4540.322385583067,24163.5304648926,9876.83618778795,14204.316238302526,0.43742097394486934,68386.04177072534
23,289148.9453908981,276210.70953080937,409301.0772795483,364581.75472488697,500605.46368353063,439563.77922839276,207416.98243706347,198439.33996125517,203755.78792821863,131277.3754279817,166532.2162945599,123262.26211384457,9608.915101921362,412.77324239427173,42444.769951117785,5607.068967224402,24163.5304648926,4733.373646757226,13431.739910662594,1.3406020926778945,60858.89075138916
24,279687.44025771366,271667.6130782428,403688.5085100685,241372.11050216077,267156.6705335782,286078.49547326064,304040.82550865976,285487.15711278707,132438.63492844353,178262.02365467194,162842.02359155894,126737.17821864312,91326.09782444828,110633.73712041795,34605.51001907607,45237.655408359744,37037.105173918644,4694.7275211894885,14678.91342620577,2.4965104970771588,45058.51138959836
25,289148.9453908981,276199.1131017519,409177.4108488539,237512.81952147087,508423.0477497093,445958.30166392564,207416.98243706347,198439.33996125517,203755.78792821863,132064.30550300283,144320.2214579225,123262.26211384457,38649.52994609557,1871.5151632384732,42444.769951117785,19287.209459568672,24164.562557288038,97108.74893672799,14328.950189316352,1.2208481998796548,56887.84993526684
26,276086.9153715524,350294.2681494234,339077.22576502076,227186.45363846322,248912.8052446678,374561.5949854022,257246.26055889306,284675.5566505342,203598.03097156435,100214.8559429608,156134.41515362283,152224.15906833703,90394.29267384697,111317.33511541355,99010.7859207191,73858.89414529137,106948.88590645709,98636.36719443294,17982.0044012389,0.53704741203288,46328.12919905046
27,259745.58991611731,278268.0175349835,338486.9343044588,360130.1798651773,274001.46765754896,285090.9640565957,209721.7834413965,285106.43374226795,200833.8242791154,129645.13978065658,170654.3609453492,136651.55391570815,48360.768990281635,97374.21679751114,97607.52512301497,16269.14771052344,25054.503435681476,3397.036750768413,14049.587476248704,3.264704969615773,44040.31112327703
28,440060.5296016093,317867.5528336251,266334.87151999003,245685.50698818933,622682.5070007882,437996.8330591364,138400.26196657462,284675.01755457325,143238.99468387052,99985.08764764747,165054.02264455138,136576.4195332602,91842.232719246,94055.50222350488,87968.47440480141,49883.84059935854,37793.34928241678,114219.42256837476,17719.7236390123,0.08380004068630897,66700.35258541704
29,276395.84606545896,271401.4753835577,260308.58627488802,339430.9042609018,254204.62486649293,375092.6626977309,214264.73366230214,276082.71027106204,126746.15619389893,165008.2575959424,150359.39492289885,125036.63795584289,91528.18879344611,88476.57361139414,98761.33751055793,30525.631007027085,37312.86255658371,98798.17244386926,15240.484668625784,2.3490985246620553,42029.11443936674
30,278845.0079443481,350277.7352850103,475420.5912577115,360942.531793001,611643.7536270544,295111.0073665023,258453.69241900102,182492.53993027698,145867.50739582762,98790.81823852858,163694.77452995064,140032.03182168474,14394.228385101107,2148.0560275269672,32021.747784128784,16842.148244315962,24166.37168209641,10982.989423730836,13856.760054735007,0.945321168284155,68077.84803931661
31,244152.57972197043,327953.79008490953,333119.43261349574,246467.96004341063,273170.12259222637,289130.4570972171,213437.53979152505,285847.65018418233,205398.7876607198,134933.61539665426,273408.29858490115,117800.4024677774,90189.56514247101,110754.11281685522,97102.74465267536,61339.24401596116,27174.717951638195,98957.58873900223,16611.058695529904,1.3033926772382198,43465.645272335554
32,276138.61129546067,267016.5980552985,335926.34607308847,235549.7197545688,251535.59184054285,287108.41254028474,301906.0277532266,285862.2224586547,203595.47299405962,100555.2552450144,143306.29622935737,118007.98153030429,76608.34635694968,92001.4810787522,98987.9650359705,31001.567955030056,116358.89441318455,98798.17244386926,16196.596025237614,2.0072592906911257,41892.01787350178
33,291658.96389257495,267340.94914001867,411987.7753076297,360255.7356775005,249274.2029502241,282134.97781026457,305180.1190939719,285272.3035546219,145793.03408783142,129803.40784500222,155900.7674529219,123945.15966524027,89021.7762535285,1019.7464984732651,98946.92159791428,19714.691753571027,24947.23460110981,4638.417551596583,13995.584879359743,3.2249302080720823,48687.92633322555
34,272012.5985089822,351007.1049313873,408131.8041669666,366151.13184507977,505834.7934513684,431626.91721538495,205482.75136053833,221830.71656817917,204223.62553044918,131675.60036972948,166293.22202492956,138390.44200547523,11376.354222235568,413.2858459354902,41609.83391068842,4073.5672906733284,24839.180319036426,3752.9807697251263,13971.359788827383,0.7100216263511465,62955.431007286854
35,289131.7128537305,278513.1226187493,409301.0772795483,459208.8238104491,499149.3311696078,390918.61351240805,207488.3468201914,198503.16832930577,203755.78792821863,130953.50711194564,166534.55593531742,123262.26211384457,9608.915101921362,35551.13163278934,42333.83669520499,6136.9710366335785,23467.81785149178,3782.3630164858478,13960.228312077792,0.7507910894287892,64102.98994980046
36,435241.8960464982,275437.63044481206,409301.0772795483,238558.95826064493,730795.0991577326,439563.77922839276,215199.41686189998,196886.0449836177,203755.78792821863,165412.9349752303,156072.967946116,123402.69362082769,14265.86602445081,545.0602169399438,36125.90278020004,19768.7867961789,24087.6987286352,4243.688388009634,15087.586134472236,0.1849226161727301,79378.87329637312
37,279687.44025771366,271667.6130782428,403688.5085100685,366772.33972365246,267156.6705335782,293432.647514291,302056.7018975511,285487.15711278707,132438.63492844353,131101.2528709698,162842.02359155894,126737.17821864312,91326.09782444828,108474.27137362497,34605.51001907607,20557.502051989708,37037.105173918644,4686.617801545507,14557.30770231565,1.6273468034749201,49214.81118900296
38,289148.9453908981,276199.1131017519,409170.3126692255,237512.81952147087,500599.20929723495,439563.77922839276,207416.98243706347,198439.33996125517,203755.78792821863,132064.30550300283,144332.29128655893,123262.26211384457,76625.16169408002,88755.56816752808,42444.769951117785,5847.121412398841,24163.5304648926,97108.74893672799,15325.929911685911,0.6274169114806559,56781.93393534174
39,277466.4888148666,278255.9148641347,328332.5199705633,360282.3020099698,476117.42928592605,291821.18898036226,215586.79176921773,221189.6132169042,201667.5932663059,144562.30339823043,259382.94238483647,140086.1649448683,10511.122624025531,423.82834808142434,31736.235707081585,17485.392269364736,26887.196938279318,6499.0359107479635,13190.482806801898,1.9355032613155971,52881.67327657788
40,291658.96389257495,267019.1325689635,334877.04366743035,338850.76413166715,249274.2029502241,454105.9367097718,305180.1190939719,196886.0449836177,204228.7322167137,104959.29489838891,156525.61904309122,123945.15966524027,38928.039538713245,90255.74890980491,36125.90278020004,19714.691753571027,24087.6987286352,6512.225964559668,13583.408495705746,3.3334924297980817,48735.922609925
41,243146.90697902316,331343.71718588035,259126.8202879696,241368.31159801278,714484.218650862,374230.69410992524,259157.2533009349,296961.91642085806,131253.88243354997,164770.2102556474,159555.38580125815,94775.34295466237,92007.08798644437,110623.10065823414,82717.74034197912,74811.17218903375,37320.51218647465,106892.57318312224,18185.429348661906,0.1597759880287838,65900.97004481054
42,289177.659879777,274491.2495226327,267725.99856361223,372009.1128231452,416646.17452893965,434088.1555043564,211351.2639202295,284461.4982693178,125516.61610933699,145815.62638466852,156072.967946116,123347.46564226257,12577.143544286711,4739.288580923734,86343.56239135546,19714.691753571027,21529.745407021113,10064.797504589038,13200.134259515364,2.7333673975639394,51016.93158985023
43,277968.5583747833,267104.27409703704,338376.40593684604,232764.37149449936,249842.7649036029,293580.54544292414,304967.669917613,285707.2650748791,204411.22654037757,100876.61841856362,155578.24142536984,129953.5549639267,76627.52674357903,90644.9447983666,99004.68835455725,19695.224096607537,24183.06599140978,68246.01940597672,14700.420732794693,2.936325605357142,41514.62997009289
44,244823.4714377385,351802.79402932746,318419.342928315,360902.9242887086,615808.9359905164,366467.0706397945,215324.9376201698,283266.2088763045,203728.99076524176,131436.4666202837,154183.94514619114,139255.1215002345,84160.93439693363,413.2858459354902,41484.15085195604,20341.162961850583,26419.129576664123,4121.736224142471,15011.998679234848,0.43409204861395434,63769.16058983567
45,278217.46236241714,271490.7243807711,403701.2170346704,241785.00283412705,266894.6323266906,286097.5039850075,304040.82550865976,285491.6160187724,131426.87146448676,178262.02365467194,162840.14816618932,126735.40766816081,92152.51606845699,89498.0852229707,34282.11477241733,45236.01293462337,37037.105173918644,4775.433039537718,14421.20346846515,2.8736611391757156,44759.01002233217
46,441648.9805247724,273977.7882288912,338662.17611576145,383971.7749239291,618569.4026728092,439079.5837568247,215260.718966813,197161.92518440826,142887.5685100878,101765.00965480121,163177.48300645783,128670.59640844818,7778.586466723495,113800.80417300225,36102.13657638658,59312.50387603107,24926.841984962302,7397.220564465933,15757.983093463747,0.2606910182425872,72446.6260015268
