sol,Gen_at_10_1_kw,Gen_at_26_1_kw,Gen_at_65_1_kw,Gen_at_66_1_kw,Gen_at_69_1_kw,Gen_at_80_1_kw,Gen_at_25_1_kw,Gen_at_49_1_kw,Gen_at_59_1_kw,Gen_at_61_1_kw,Gen_at_100_1_kw,Gen_at_12_1_kw,Gen_at_31_1_kw,Gen_at_46_1_kw,Gen_at_54_1_kw,Gen_at_87_1_kw,Gen_at_103_1_kw,Gen_at_111_1_kw,cost_dh,voltage_deviation_pu,emissions_ton_h
1,177544.86751220393,313729.59245191823,242839.04950448006,249162.41529935042,229603.6272124364,148153.94910753722,100268.31549830272,210349.67876332352,118709.95272450747,143337.1853657125,175030.43048922528,139214.49075099043,92272.18392553802,71138.86356704011,138610.52788823313,4816.840817884389,127829.87641584502,14021.480643469018,13019.983168396497,2.1542454991907354,27489.509178479355
2,395359.6149201763,247738.93741459108,342792.0744615846,260088.8609587392,584178.3820148754,339735.2226840631,216224.50143196413,113742.42871501516,242255.77367009327,255969.8312872331,180977.53436602137,144305.91037054337,49390.4194437688,25700.245293303637,147569.66180325235,50207.21793826267,106541.98661717553,24357.24402799617,17534.459575186276,0.226362046765597,64155.213680431894
3,413676.78379148,404463.7587508987,360706.63039716915,278083.1230719634,688448.05821612,558873.9797841037,145795.73823149785,206255.94842188415,140120.48283570705,56193.61622192226,173335.2813816485,142684.88371997085,45586.594146191346,30685.007752305984,23976.867383850404,57087.82459320909,23104.173567584963,12541.43061390417,15877.396160973332,0.15333765134594268,80058.22212501097
4,178879.49103389456,328102.05514587904,231609.69100148926,259952.77631788005,222939.74477355962,149304.37136434845,144591.77040106396,212028.98513586607,120834.74464680477,231907.51832418703,182973.15377545258,96555.38960192751,42568.15559703008,68486.01522405157,122061.25977172487,6356.451704440043,5004.810148565797,19042.75247950668,11395.646378945796,3.6583543661021425,28519.990024503713
5,240728.69846595995,233188.2319526857,345498.7914957261,273537.19376536895,567498.5785210173,164829.19579504605,144321.8429402871,112519.19705111484,123794.23661295092,56094.19074531061,180644.26877709242,96627.45277422451,16348.954938066137,30000.306810244187,22376.505297547377,6335.235783778347,22811.248270559066,23643.510434323798,10004.82122410293,2.9659136843814093,43083.27790463085
6,378443.54213789647,312528.5918356332,342629.557694255,256333.35400233732,610610.848654792,339735.2226840631,217917.28966734215,283180.4308565451,84707.54116728422,258738.04312240635,181018.9543056584,144211.69225404836,46463.21424639597,68198.2125226687,97520.2947878491,50767.88353130553,106598.84557656111,14602.272654167897,17471.66813228985,0.09028830432128776,66134.29995020552
7,381567.44743016484,237492.29081173893,360736.6636197095,276227.76820469333,681247.9104397298,171024.96032111347,131916.21385594236,116220.847764142,129180.72484929848,57211.617756578205,174512.71461024933,137608.706586616,45737.86277161664,8256.330300410078,22661.041730303084,56163.55138298254,22223.183314933583,43800.80331088214,12604.609593789366,0.40218559408897825,58363.02218731766
8,413954.74489385076,306200.27233496547,343874.77150396124,272876.83652027976,610109.3882027986,337251.26848762145,217732.34469859453,113362.2802531599,243089.84969558293,250304.71864139393,173227.34007275818,142793.26957196754,49382.98579077827,26688.317933319355,142123.06099699266,50710.82475465898,23931.25291411877,15004.953988720727,16864.887314004813,0.18809170261059838,67829.08187072027
9,392484.7222626607,237975.48065527214,366440.99746060965,258776.29132314617,257552.76644564237,148236.58573255912,185528.95717139044,119340.76401916555,115908.38526424802,147796.0872686077,180946.22827134145,142745.82460731847,17385.373306540198,10284.526389166145,26983.906613074374,5807.882320955115,12015.173933811264,12868.532366102938,10155.541188517771,3.087139817406227,37504.7768633452
10,373681.0561751061,409680.0729596589,239943.57870799728,247967.60315365857,230653.28475638333,168523.27549728827,99480.4556698807,284399.75508246897,137604.8411071004,53314.02983574763,350345.544103908,97858.4185641365,22726.01699278818,30840.990895906387,58399.26072284198,93684.17430156488,126045.79949920892,76594.62868722985,15137.185502666358,0.2307930913420121,41619.62076622287
