sol,Gen_at_10_1_kw,Gen_at_26_1_kw,Gen_at_65_1_kw,Gen_at_66_1_kw,Gen_at_69_1_kw,Gen_at_80_1_kw,Gen_at_25_1_kw,Gen_at_49_1_kw,Gen_at_59_1_kw,Gen_at_61_1_kw,Gen_at_100_1_kw,Gen_at_12_1_kw,Gen_at_31_1_kw,Gen_at_46_1_kw,Gen_at_54_1_kw,Gen_at_87_1_kw,Gen_at_103_1_kw,Gen_at_111_1_kw,cost_dh,voltage_deviation_pu,emissions_ton_h
1,327073.05087018694,357163.0797479357,193047.0190074928,261942.3473904482,392722.43021375994,569667.0493096135,220623.87569810086,210716.92353329202,59011.8419053899,55429.78728857404,234126.68110381428,74541.59301152994,35736.42073404952,32869.44162302081,8922.717834015504,4444.286308676896,20633.5582505808,35392.80034849414,12112.177021726318,3.1832498360300514,51039.25303806543
2,386182.1188189873,227615.2728932039,287351.09721242427,354393.4410881517,664468.4453500585,569622.3790237273,192912.78155320138,210606.79740003898,157118.23343515774,140095.50329421755,279756.39510287886,123074.9046710551,35210.12522884228,30022.02706094143,6551.3168096473455,27608.110064366694,16332.692655498417,38531.37027186348,15507.354071306441,0.1082196624533448,76282.49425582579
3,386182.11576394644,227701.30312971972,155703.0432944115,366308.7835218268,660073.6832537187,569622.3790237273,272537.4045144142,210664.95802014583,158335.39628728907,140095.50329421755,278632.0324212147,123074.9046710551,35212.375053963886,30004.273486278085,49138.345069251256,27608.110064366694,53285.00111452031,38600.20877684981,16203.758729639396,0.049906431791647665,75070.69509223121
4,319896.9785338539,282324.3527409748,160948.6863837387,351638.0083625654,378969.98848356534,406303.7246845779,247909.40203130286,286810.53475423483,158508.75531497152,241971.98695212204,288154.22892804304,184347.05189617682,87094.13628438264,107959.1073398001,118194.67414709668,68875.54401318754,33443.597204114034,126740.98772721153,19437.030725766457,0.08690542363467502,55460.20346236117
5,318333.43596255296,283092.5790402866,155960.24153831165,206710.0555299701,378969.4002590497,258587.21533225698,276959.74454499874,288027.68804453395,150894.50941877795,227600.28667247682,184518.14567193843,69972.69164206716,86259.34246493746,32792.49758311047,56235.52341123392,6268.438710271398,32051.766974745697,46339.035685404844,13228.119314892509,3.341469067436356,40011.62029669046
6,146416.20677329443,337346.3936167994,172901.9300794627,241663.2032389656,378859.74759589334,256988.09243490588,201774.84030450057,288397.0958101108,202326.89169458445,138681.37569400246,204040.12467075532,165711.40721352873,54929.33138614864,114644.01480435119,85133.28756200732,53185.76648159274,32353.574740794043,36110.7824837574,14557.262752434297,2.8541878377971672,37238.85224622967
7,319348.6211987085,337622.69181719015,162784.30443003168,352641.8365919751,378969.9973155695,415430.53020212974,247909.40203130286,286810.53475423483,159037.89572968893,242860.07236805218,236080.774308807,173000.02202867746,85116.18869864008,109722.43632007745,66543.94644216365,68875.54401318754,34299.43111322752,132362.74833797597,18867.257001149253,0.08635345417110174,55649.4382417531
8,386182.11576394644,280587.98291004234,155703.0432944115,366377.81083828217,660073.6832537187,396349.9971771577,246263.49451239858,210664.95802014583,158511.61514957531,139772.03617116643,277969.3725030822,178847.25323370507,40707.32375764392,102143.62374542592,49138.345069251256,27608.110064366694,53285.00111452031,126552.10379809735,17882.179082981373,0.05813948572607375,70159.52278927066
9,327627.3257902994,356645.7964273178,172490.21442078683,261942.3473904482,392738.85670794727,564695.9255465214,202747.53122809372,214468.1085468113,59011.68190100927,55505.086551129265,206134.77170315845,104051.44863616615,36620.190845146855,30100.962041131632,57073.20774385097,5053.510223942525,21776.837701859586,35426.777568058555,12413.406177025865,2.7448517266342023,49808.76622983268
10,319840.73012643034,220187.64139051994,155953.69780260738,343417.69815591915,378969.9883640099,406303.7246845779,273070.77929343027,287999.4812314061,158374.93716770344,242067.18804062536,288154.22892804304,180778.85473725715,87094.19146608094,102690.04015518795,112567.3993360792,9980.417782206177,33222.665438020485,126740.98772721153,18197.882370852007,0.09416240850340885,53945.90774499148
11,154219.58865496624,337390.62980571843,172901.9300794627,241663.2032389656,384624.5986085526,255023.58240496623,202900.7361217007,288397.0958101108,204415.25213747332,222415.95189600298,206432.59469577123,165711.40721352873,20727.432312255227,114644.01480435119,84362.28535292442,4027.424073185756,21833.068443745986,35655.450504731714,14087.008135772605,2.121074374437957,39168.943367050946
12,329416.93305234914,333533.09490723745,197777.14882442076,399060.6783863369,379625.0137447027,390157.66554566013,197587.09145834748,216709.5562122681,150381.65009665836,220677.27532195477,196490.44198781598,68370.02824116027,21077.89128504963,32225.86988165936,3720.9855445262715,8219.937599242834,20378.925107184245,33634.551536093335,12766.561351365546,1.488065522535678,50295.623967489075
13,322800.585979428,337622.69181719015,162782.39778876147,257270.26280293078,305034.09712031146,415015.02632464975,204243.39266809958,202984.09325746523,159739.69773524953,241936.89590917065,236119.4670547571,173000.02202867746,85112.15071956518,111799.19680718522,66141.93826981288,68856.39732504437,48957.295056866,129449.25251599788,17548.64362126473,0.28656818620998215,46444.42617357543
14,318297.3947972302,283092.5790402866,155960.24153831165,206710.0555299701,378969.4002590497,258128.6613371556,276959.74454499874,288027.68803480564,155394.0372766929,233101.05479951724,184467.71968153326,69972.69164206716,86260.20255976399,32792.49758311047,56235.52341123392,9955.13285725849,32080.2287600824,46339.035685404844,13338.709960564396,2.61247865616334,40221.6366037405
15,318842.58798420476,280746.4795694763,196844.05411200586,257476.22356610233,612749.3475727411,339593.38380851375,202838.0317776747,238490.91138326997,150702.20084935657,71891.83664327455,182238.95735291392,120811.72323390719,33693.50280227428,33739.03971086546,4250.941142967895,4120.803994992644,32628.55324630723,41332.33466960855,12442.189690921592,2.2927847887115345,52179.26687885163
16,318329.8570620545,282324.3527409748,160948.6863837387,351638.0083625654,378970.0035030752,406303.7246845779,247909.40203130286,286810.53475423483,158508.75531497152,241971.98695212204,288154.22892804304,184347.05189617682,87078.72476698582,108101.77966145957,118194.67414709668,68875.54401318754,33460.85948478275,126740.98772721153,19431.89757122464,0.0873157595767865,55397.07412469027
17,392120.20102759416,348496.5828933593,191128.83697493226,355096.19896580494,612889.432842857,259441.5948375049,193872.49196396655,238733.04545003048,150730.908473831,67518.39816682483,279260.0951158253,103944.608467174,34527.1393898528,33832.84062052439,4051.2941266580856,7052.59057626563,20686.44806563483,35814.62204006782,13406.757738118109,0.6473545658705394,60602.290633114644
18,391893.2020551367,337930.96234888176,201446.4862187311,265403.71852387046,616542.3612559383,323234.25073126936,203206.85486973234,214445.9409958735,60744.19784018905,67585.14862837522,233304.5736373373,68845.98358724742,35304.31523231331,35473.65444284586,4173.027608336395,31243.263945141764,26970.042437370023,35882.54473322665,12534.076977687142,1.992205981652518,56214.84167835206
19,380009.9464662894,358877.85834306135,174670.1941071845,269916.3763758625,379401.2175446725,261555.37302841042,203768.42754520784,288156.1568972519,163867.03873832666,56221.20184845681,231924.23048434264,123852.33840443497,23626.531873477732,34935.28653263676,56615.561889560864,5207.545183294516,21776.837701859586,46305.25399170503,12684.575892604173,3.072690801786726,44171.525101758474
20,146416.20677329443,337346.3936167994,172848.0056928936,241662.20740578367,378859.74759589334,256988.09243490588,202900.6473810004,288397.0958101108,150896.99943477171,138090.06568853484,289974.61734646425,165711.40721352873,54750.82979768549,115723.16637854815,82641.87821293836,54024.46776799409,32388.091281891706,36858.633773687696,14677.938538436512,2.051949719333453,38172.35170271944
21,321726.01826962776,356692.5856834769,194033.32318124434,262032.63651414504,630555.5572807139,326694.0322255289,222694.6544153951,214468.1085468113,59899.67141700584,80721.22689570626,234126.68110381428,74541.59301152994,35723.65116356981,35086.950047107035,8877.030827156306,5213.108411800389,20633.5582505808,35863.3075738434,12208.756438385148,2.51995282359937,54936.64754404029
22,130809.03373324331,337306.22715307365,172901.9300794627,242119.48019830004,378859.74759589334,256988.09243490588,202783.6347068811,288397.0958101108,201746.03526321417,139528.03813238553,233603.0596109677,169144.38465477427,54929.33138614864,114644.01480435119,84347.79448716105,53185.76648159274,32353.574740794043,36110.62600609167,14694.13123224175,2.3735471669108783,37645.41720498703
23,393934.5257504269,337930.96234888176,201446.4862187311,265403.71852387046,616542.3612559383,323234.25073126936,279358.23563861084,214445.9409958735,60744.19784018905,67585.14862837522,234304.9999488743,69579.26326817679,35304.31523231331,35473.65444284586,4173.027608336395,6967.884263323098,26970.042437370023,35882.54473322665,12665.324189795934,1.599407483355923,58385.36723296856
24,313125.9177863687,337622.69181719015,164024.86249376176,352641.8365919751,378966.0684386416,313770.40267029486,247909.40203130286,286842.8967967343,201664.84574549235,238357.06343494353,284421.0544592594,173635.49521241497,56545.47532552864,31738.848814479796,66543.94644216365,53075.77226605021,16264.669974358842,134637.6921252039,17384.982974980874,0.17550155760204333,53064.081006769804
25,328810.60385008284,280698.4079145088,190643.69434260007,231239.92923913518,381898.44248960505,282190.1237286925,248765.83131133835,289161.55790460965,198900.4496695011,227600.28667247682,203751.22440789058,163836.63520432566,83338.71594700744,110465.76660887923,52225.214988101696,52069.515884628876,31074.53165051298,35821.6072420743,15811.989774704598,0.45048238913970695,44921.75291059276
26,328810.60385008284,280698.4079145088,191128.69022743573,371940.1762626388,621632.4707720039,282190.1237286925,248765.83131133835,289161.55790460965,198900.4496695011,227600.28667247682,200640.21963239624,163666.07086058293,32471.123505738335,110465.76660887923,52225.214988101696,52383.05313962257,20241.726030315138,35821.6072420743,16831.631275636613,0.13886237855403005,63714.17897371464
27,329416.93305234914,337866.26302359434,164853.8290202379,344260.20626843534,379625.0137447027,390102.1436811626,245259.92746857414,216678.1579151347,159090.97838244337,227847.85899050438,196295.87259844923,68370.02824116027,21146.64478397052,32772.015063454215,3523.4016877588365,6635.88394818177,32101.29209996798,44078.57071708509,12978.945875878851,1.4189974475966554,48615.326457863914
