scenario,bus,voltage_pu
Base (sem vento),1_riversde,0.955000
Base (sem vento),2_pokagon,0.971384
Base (sem vento),3_hickryck,0.967674
Base (sem vento),4_nwcarlsl,0.998000
Base (sem vento),5_olive,1.001918
Base (sem vento),6_kankakee,0.990000
Base (sem vento),7_jacksnrd,0.989320
Base (sem vento),8_olive,1.015000
Base (sem vento),9_bequine,1.043231
Base (sem vento),10_breed,1.050000
Base (sem vento),11_southbnd,0.985120
Base (sem vento),12_twinbrch,0.990000
Base (sem vento),13_concord,0.968326
Base (sem vento),14_goshenjt,0.983586
Base (sem vento),15_ftwayne,0.970000
Base (sem vento),16_ne,0.983786
Base (sem vento),17_sorenson,0.994766
Base (sem vento),18_mckinley,0.973000
Base (sem vento),19_lincoln,0.963555
Base (sem vento),20_adams,0.958736
Base (sem vento),21_jay,0.959615
Base (sem vento),22_randolph,0.970834
Base (sem vento),23_collcrnr,1.000688
Base (sem vento),24_trenton,0.992000
Base (sem vento),25_tannrsck,1.050000
Base (sem vento),26_tannrsck,1.015000
Base (sem vento),27_madison,0.968000
Base (sem vento),28_mullin,0.961404
Base (sem vento),29_grant,0.962828
Base (sem vento),30_sorenson,0.986600
Base (sem vento),31_deercrk,0.967000
Base (sem vento),32_delaware,0.964262
Base (sem vento),33_haviland,0.971650
Base (sem vento),34_rockhill,0.986047
Base (sem vento),35_westlima,0.980723
Base (sem vento),36_sterling,0.980000
Base (sem vento),37_eastlima,0.992241
Base (sem vento),38_eastlima,0.963120
Base (sem vento),39_nwlibrty,0.970516
Base (sem vento),40_westend,0.970000
Base (sem vento),41_stiffin,0.966843
Base (sem vento),42_howard,0.985000
Base (sem vento),43_skenton,0.978822
Base (sem vento),44_wmvernon,0.985334
Base (sem vento),45_nnewark,0.986816
Base (sem vento),46_wlancst,1.005000
Base (sem vento),47_crooksvl,1.016197
Base (sem vento),48_zanesvll,1.020484
Base (sem vento),49_philo,1.025000
Base (sem vento),50_wcambrdg,1.000746
Base (sem vento),51_newcmrst,0.966259
Base (sem vento),52_scoshoct,0.956152
Base (sem vento),53_wooster,0.945642
Base (sem vento),54_torrey,0.955000
Base (sem vento),55_wagenhls,0.952000
Base (sem vento),56_sunnysde,0.954000
Base (sem vento),57_wnwphil1,0.970235
Base (sem vento),58_wnwphil2,0.958643
Base (sem vento),59_tidd,0.985000
Base (sem vento),60_swkammer,0.993161
Base (sem vento),61_wkammer,0.995000
Base (sem vento),62_natrium,0.998000
Base (sem vento),63_tidd,0.968500
Base (sem vento),64_kammer,0.983515
Base (sem vento),65_muskngum,1.005000
Base (sem vento),66_muskngum,1.050000
Base (sem vento),67_summerfl,1.019895
Base (sem vento),68_sporn,1.003236
Base (sem vento),69_sporn,1.035000
Base (sem vento),70_portsmth,0.984000
Base (sem vento),71_nportsmt,0.986840
Base (sem vento),72_hillsbro,0.980000
Base (sem vento),73_sargents,0.991000
Base (sem vento),74_bellefnt,0.958000
Base (sem vento),75_sthpoint,0.966800
Base (sem vento),76_darrah,0.943000
Base (sem vento),77_turner,1.006000
Base (sem vento),78_chemical,1.003344
Base (sem vento),79_capitlhl,1.009255
Base (sem vento),80_cabincrk,1.040000
Base (sem vento),81_kanawha,0.996108
Base (sem vento),82_logan,0.988587
Base (sem vento),83_sprigg,0.984365
Base (sem vento),84_betsylne,0.979685
Base (sem vento),85_beaverck,0.985000
Base (sem vento),86_hazard,0.986348
Base (sem vento),87_pinevlle,1.015000
Base (sem vento),88_fremont,0.989135
Base (sem vento),89_clinchrv,1.005000
Base (sem vento),90_holston,0.985000
Base (sem vento),91_holstont,0.980000
Base (sem vento),92_saltvlle,0.992763
Base (sem vento),93_tazewell,0.987750
Base (sem vento),94_switchbk,0.990864
Base (sem vento),95_caldwell,0.981303
Base (sem vento),96_baileysv,0.993200
Base (sem vento),97_sundial,1.011352
Base (sem vento),98_bradley,1.021991
Base (sem vento),99_hinton,1.010000
Base (sem vento),100_glenlyn,1.015720
Base (sem vento),101_wythe,0.992003
Base (sem vento),102_smythe,0.991219
Base (sem vento),103_claytor,1.000720
Base (sem vento),104_hancock,0.971000
Base (sem vento),105_roanoke,0.965990
Base (sem vento),106_cloverdl,0.961697
Base (sem vento),107_reusens,0.952000
Base (sem vento),108_blaine,0.966537
Base (sem vento),109_franklin,0.967200
Base (sem vento),110_fieldale,0.973000
Base (sem vento),111_danriver,0.980000
Base (sem vento),112_danville,0.975000
Base (sem vento),113_deercrk,0.993000
Base (sem vento),114_wmedford,0.960835
Base (sem vento),115_medford,0.960678
Base (sem vento),116_kygercrk,1.005000
