scenario,kw_wind,sol,cost_dh,voltage_deviation_pu,emissions_ton_h
Base (sem vento),0,1,15577.539225,2.280305,39283.510057
Base (sem vento),0,2,12894.663754,3.449905,52291.133873
Base (sem vento),0,3,18604.076560,0.119194,55104.748372
Base (sem vento),0,4,18205.325650,0.077322,80945.125666
Base (sem vento),0,5,12812.410824,3.011487,55939.085421
Base (sem vento),0,6,13103.481715,2.215925,51629.202327
Base (sem vento),0,7,13299.952482,1.745000,57383.769340
Base (sem vento),0,8,12996.065011,2.631535,54434.397431
Base (sem vento),0,9,16465.956730,1.476166,42305.858653
Base (sem vento),0,10,18406.373946,0.140408,58341.771447
Base (sem vento),0,11,17342.196328,1.390545,41635.957881
Base (sem vento),0,12,17075.562480,0.109551,70949.700864
Base (sem vento),0,13,15489.988684,2.063660,40537.777715
Base (sem vento),0,14,15644.824398,1.110159,47225.217614
Base (sem vento),0,15,17863.794323,0.078318,79959.095397
Base (sem vento),0,16,12902.630970,3.129394,53488.156416
Base (sem vento),0,17,14861.413346,0.313898,69127.823435
Base (sem vento),0,18,17491.270702,0.845357,44181.342290
Base (sem vento),0,19,15003.860621,0.222487,76214.331137
Base (sem vento),0,20,14319.735360,0.935435,59413.468463
Base (sem vento),0,21,13631.572185,2.457070,48985.395709
Base (sem vento),0,22,14204.316238,0.437421,68386.041771
Base (sem vento),0,23,13431.739911,1.340602,60858.890751
Base (sem vento),0,24,14678.913426,2.496510,45058.511390
Base (sem vento),0,25,14328.950189,1.220848,56887.849935
Base (sem vento),0,26,17982.004401,0.537047,46328.129199
Base (sem vento),0,27,14049.587476,3.264705,44040.311123
Base (sem vento),0,28,17719.723639,0.083800,66700.352585
Base (sem vento),0,29,15240.484669,2.349099,42029.114439
Base (sem vento),0,30,13856.760055,0.945321,68077.848039
Base (sem vento),0,31,16611.058696,1.303393,43465.645272
Base (sem vento),0,32,16196.596025,2.007259,41892.017874
Base (sem vento),0,33,13995.584879,3.224930,48687.926333
Base (sem vento),0,34,13971.359789,0.710022,62955.431007
Base (sem vento),0,35,13960.228312,0.750791,64102.989950
Base (sem vento),0,36,15087.586134,0.184923,79378.873296
Base (sem vento),0,37,14557.307702,1.627347,49214.811189
Base (sem vento),0,38,15325.929912,0.627417,56781.933935
Base (sem vento),0,39,13190.482807,1.935503,52881.673277
Base (sem vento),0,40,13583.408496,3.333492,48735.922610
Base (sem vento),0,41,18185.429349,0.159776,65900.970045
Base (sem vento),0,42,13200.134260,2.733367,51016.931590
Base (sem vento),0,43,14700.420733,2.936326,41514.629970
Base (sem vento),0,44,15011.998679,0.434092,63769.160590
Base (sem vento),0,45,14421.203468,2.873661,44759.010022
Base (sem vento),0,46,15757.983093,0.260691,72446.626002
Base (sem vento),0,47,13889.097146,0.889570,65159.634419
Base (sem vento),0,48,15791.034961,1.981506,42905.980360
Base (sem vento),0,49,15148.428353,0.181486,77470.815104
Base (sem vento),0,50,16621.966580,1.028412,45939.911783
Base (sem vento),0,51,13807.571708,1.095270,61932.772361
Base (sem vento),0,52,15862.554084,0.266221,64702.046155
Base (sem vento),0,53,15478.513991,0.130775,78005.129214
Base (sem vento),0,54,16159.429649,0.354984,53979.383957
Base (sem vento),0,55,15370.655286,0.217456,73829.713006
Base (sem vento),0,56,17641.118825,0.307419,51227.229571
Base (sem vento),0,57,13622.876770,3.448243,47898.145641
Base (sem vento),0,58,14818.766952,0.245478,74735.189106
